	my	name	is	javad	pourmostafa	and	i	am	from	guilan	nlp	group	at	the	university	of	.
83	0.035304874	0.34907067	-0.26624662	-0.20195094	-0.021862753	-0.041932773	0.08981651	-0.06255977	-0.0034237884	0.015979057	-0.4166357	-0.17930356	0.16295297	0.11180802	-0.6054295	-0.22737098	0.03675002
84	0.1790395	0.021758145	-0.089977324	-0.09962454	0.026903642	-0.028385565	0.21587701	0.36615324	0.074823834	-0.03472073	0.16450071	-0.1917878	0.056856766	-0.00621272	0.03136405	0.120635174	0.024439454
85	0.12103454	-0.23854256	-0.1872686	-0.115546204	-0.23188716	0.04908298	0.18605135	-0.07762114	0.1305936	0.14790435	-0.27433938	-0.105720274	-0.07150522	-0.16713686	0.11908319	-0.0613041	-0.23492956
86	0.06444378	0.002016585	-0.19796847	-0.9355277	-0.50873905	-0.073574424	-0.079904795	-0.07229541	-0.24916522	-0.26465404	0.21073772	-0.20373571	-0.118561074	-0.06552236	-0.2808061	-0.07771318	-0.027343247
87	0.022759318	0.2963075	0.12161013	-0.048948295	-0.2882564	0.07352475	0.121925816	0.14458314	0.060373556	0.48233393	-0.35948414	0.2440724	0.065202385	0.0835718	0.09247951	0.1096042	0.079749316
88	-0.31886226	-0.050434656	-0.12957038	0.41343594	0.1806087	0.088135235	-0.051870003	0.19546665	-0.20007527	0.04685014	-0.3359808	0.31581873	-0.007110536	-0.092856854	-0.13223518	-0.09609571	0.033781767
89	-0.121340446	0.046619713	-0.07463832	0.12472807	-0.28863403	-0.03218375	-0.047022894	-0.05090466	0.29940364	-0.06465298	-0.100169845	0.35788545	-0.06522182	-0.123766035	-0.43512377	-0.20337984	-0.14430961
90	0.2443255	0.23635352	0.26606297	0.23905058	0.021105748	0.029903252	-0.087623805	0.058926567	0.025893234	0.08781563	0.14971142	-0.2444575	-0.029952615	-0.08290806	-0.45786023	-0.022940338	-0.12994714
91	-0.05980941	-0.009064388	0.21285963	-0.42325088	-0.19483775	-0.070025004	-0.28110796	0.093646936	-0.10788735	-0.31514648	0.23630822	-0.09424203	0.051816136	0.012024957	-0.4047403	0.159448	0.0013883561
92	0.25853625	0.110756174	0.13707303	0.023975149	0.009702146	0.15322755	0.39697778	0.2042842	0.092428416	0.0050943526	-0.13464364	0.23902774	0.42489776	0.338365	0.3297072	0.23324901	0.12936419
93	-0.16423985	0.024587274	-0.22089185	0.31489462	-0.03507727	-0.17235824	0.044655144	0.12019541	-0.002856661	-0.52306956	-0.15518087	-0.07801695	-0.18516469	-0.27124238	-0.6440081	-0.23106514	-0.025756553
94	0.13508117	0.034280594	0.06105423	-0.115681134	-0.36462575	0.07350198	0.10638744	-0.47125915	-0.19491018	0.2717501	-0.12482192	-0.048007667	0.16309533	0.054493506	-0.32989556	0.05268438	0.14235458
95	0.13415626	-0.23073384	-0.25246882	0.25997016	0.0919332	0.1323218	0.17851335	0.2564963	0.23134124	-0.059893332	-0.19286664	-0.055143196	0.06875073	-0.088205986	-0.100251496	-0.09694639	-0.039068848
96	-0.37661424	0.03724862	0.12172079	-0.08632637	-0.055351622	0.090190895	-0.085488394	-0.069241546	-0.028209416	-0.03739734	0.31368032	-0.14980109	0.24888706	0.07329439	0.2259664	0.05737251	0.044409722
97	-0.098015495	-0.012572928	0.17020881	0.18772525	-0.31114393	0.007902289	0.017462373	-0.26014507	0.24769972	-0.19139184	-0.22922167	-0.21877745	0.008719675	0.024418237	0.14180326	0.14142871	-0.10727232
98	0.023060232	-0.0906682	0.14249189	-0.49956745	-0.23230259	-0.027886579	0.12032795	0.38907126	0.1521199	-0.19645669	0.0047944617	0.0065016034	-0.16567363	0.0036174443	-0.17161159	0.07654711	0.0102069825
99	0.23101799	-0.010198518	-0.059753	-0.18173511	-0.10128193	-0.046971392	0.24190399	0.09047682	-0.08653968	-0.3039617	0.24813943	0.21459177	0.097581506	-0.027803728	-0.18120618	0.018264621	-0.25722176
100	0.075962424	-0.039043806	-0.22905497	0.47223535	0.25581226	0.039197933	0.054101273	0.16224281	0.035328258	0.058117993	0.22264513	-0.2237748	0.097658664	-0.12582873	0.16277784	0.06409093	0.010799915
